timestamp,event_type,seq_no,attempt_no,rtt_seconds
1780661982.2778268,ACK,507,1,0.0009601116180419922
1780661982.2785237,SEND,508,1,
1780661982.2898636,ACK,508,1,0.011339902877807617
1780661982.290318,SEND,509,1,
1780661984.3023458,TIMEOUT,509,1,
1780661984.3026485,SEND,509,2,
1780661984.3048844,ACK,509,2,0.002235889434814453
1780661984.3082683,SEND,510,1,
1780661984.3091502,ACK,510,1,0.0008819103240966797
1780661984.3100333,SEND,511,1,
1780661984.3113604,ACK,511,1,0.0013270378112792969
1780661984.3123498,SEND,512,1,
1780661984.316131,ACK,512,1,0.0037813186645507812
1780661984.3214538,SEND,513,1,
1780661984.3224041,ACK,513,1,0.0009503364562988281
1780661984.323083,SEND,514,1,
1780661984.324093,ACK,514,1,0.0010101795196533203
1780661984.3250074,SEND,515,1,
1780661986.3339305,TIMEOUT,515,1,
1780661986.334234,SEND,515,2,
1780661986.336753,ACK,515,2,0.002518892288208008
1780661986.3373299,SEND,516,1,
1780661986.3407414,ACK,516,1,0.003411531448364258
1780661986.341371,SEND,517,1,
1780661986.3423097,ACK,517,1,0.0009386539459228516
1780661986.3428545,SEND,518,1,
1780661986.3438,ACK,518,1,0.0009455680847167969
1780661986.3445196,SEND,519,1,
1780661988.3539567,TIMEOUT,519,1,
1780661988.3545098,SEND,519,2,
1780661990.368209,TIMEOUT,519,2,
1780661990.3684478,SEND,519,3,
1780661990.370787,ACK,519,3,0.0023391246795654297
1780661990.3739657,SEND,520,1,
1780661990.3747637,ACK,520,1,0.0007979869842529297
1780661990.3754892,SEND,521,1,
1780661990.3764126,ACK,521,1,0.0009233951568603516
1780661990.3773558,SEND,522,1,
1780661990.3782022,ACK,522,1,0.0008463859558105469
1780661990.379077,SEND,523,1,
1780661992.3829322,TIMEOUT,523,1,
1780661992.3831668,SEND,523,2,
1780661992.3854485,ACK,523,2,0.002281665802001953
1780661992.3888428,SEND,524,1,
1780661994.4017134,TIMEOUT,524,1,
1780661994.4020803,SEND,524,2,
1780661994.4062557,ACK,524,2,0.004175424575805664
1780661994.4097176,SEND,525,1,
1780661994.4111247,ACK,525,1,0.0014071464538574219
1780661994.4128065,SEND,526,1,
1780661994.4153342,ACK,526,1,0.0025277137756347656
1780661994.4180195,SEND,527,1,
1780661996.4334805,TIMEOUT,527,1,
1780661996.433905,SEND,527,2,
1780661996.4348745,ACK,527,2,0.0009696483612060547
1780661996.4355452,SEND,528,1,
1780661996.4362648,ACK,528,1,0.0007195472717285156
1780661996.4369385,SEND,529,1,
1780661996.437627,ACK,529,1,0.0006885528564453125
1780661996.4381778,SEND,530,1,
1780661996.4388127,ACK,530,1,0.0006349086761474609
1780661996.4393728,SEND,531,1,
1780661996.439906,ACK,531,1,0.0005331039428710938
1780661996.4404247,SEND,532,1,
1780661996.4412055,ACK,532,1,0.0007808208465576172
1780661996.4418886,SEND,533,1,
1780661996.4428372,ACK,533,1,0.0009486675262451172
1780661996.44336,SEND,534,1,
1780661996.4522316,ACK,534,1,0.00887155532836914
1780661996.4529245,SEND,535,1,
1780661996.4538121,ACK,535,1,0.0008876323699951172
1780661996.4543657,SEND,536,1,
1780661996.4554005,ACK,536,1,0.0010347366333007812
1780661996.4560993,SEND,537,1,
1780661996.4571898,ACK,537,1,0.0010905265808105469
1780661996.4581308,SEND,538,1,
1780661996.4623785,ACK,538,1,0.0042476654052734375
1780661996.4663773,SEND,539,1,
1780661998.4684236,TIMEOUT,539,1,
1780661998.4686036,SEND,539,2,
1780661998.4703875,ACK,539,2,0.0017838478088378906
1780661998.4737952,SEND,540,1,
1780662000.4748824,TIMEOUT,540,1,
1780662000.475343,SEND,540,2,
1780662000.479268,ACK,540,2,0.0039250850677490234
1780662000.483236,SEND,541,1,
1780662002.488126,TIMEOUT,541,1,
1780662002.4885612,SEND,541,2,
1780662002.4921732,ACK,541,2,0.003612041473388672
1780662002.4954278,SEND,542,1,
1780662002.4964485,ACK,542,1,0.001020669937133789
1780662002.4973583,SEND,543,1,
1780662002.4985814,ACK,543,1,0.0012230873107910156
1780662002.4997387,SEND,544,1,
1780662002.501629,ACK,544,1,0.001890420913696289
1780662002.5027134,SEND,545,1,
1780662002.5064273,ACK,545,1,0.003713846206665039
1780662002.5094929,SEND,546,1,
1780662002.5102763,ACK,546,1,0.0007834434509277344
1780662002.511021,SEND,547,1,
1780662002.511725,ACK,547,1,0.0007040500640869141
1780662002.5123513,SEND,548,1,
1780662002.5129144,ACK,548,1,0.0005631446838378906
1780662002.5135226,SEND,549,1,
1780662004.5193503,TIMEOUT,549,1,
1780662004.5197957,SEND,549,2,
1780662004.5243008,ACK,549,2,0.004505157470703125
1780662004.527777,SEND,550,1,
1780662004.529245,ACK,550,1,0.0014679431915283203
1780662004.5308635,SEND,551,1,
1780662004.5335803,ACK,551,1,0.0027167797088623047
1780662004.5357404,SEND,552,1,
1780662004.5372188,ACK,552,1,0.001478433609008789
1780662004.5384576,SEND,553,1,
1780662004.5399368,ACK,553,1,0.0014791488647460938
1780662004.540892,SEND,554,1,
1780662004.5441031,ACK,554,1,0.0032112598419189453
1780662004.5474634,SEND,555,1,
1780662004.548198,ACK,555,1,0.0007345676422119141
1780662004.5489674,SEND,556,1,
1780662004.5502946,ACK,556,1,0.0013272762298583984
1780662004.552234,SEND,557,1,
1780662004.553313,ACK,557,1,0.0010790824890136719
1780662004.554385,SEND,558,1,
1780662004.5551295,ACK,558,1,0.0007445812225341797
1780662004.5583382,SEND,559,1,
1780662004.561975,ACK,559,1,0.0036368370056152344
1780662004.5626853,SEND,560,1,
1780662004.5634403,ACK,560,1,0.0007550716400146484
1780662004.5639744,SEND,561,1,
1780662004.5648103,ACK,561,1,0.0008358955383300781
1780662004.5653317,SEND,562,1,
1780662004.5662377,ACK,562,1,0.0009059906005859375
1780662004.5677834,SEND,563,1,
1780662004.5713513,ACK,563,1,0.003567934036254883
1780662004.5735745,SEND,564,1,
1780662004.5744994,ACK,564,1,0.0009248256683349609
1780662004.575629,SEND,565,1,
1780662006.583737,TIMEOUT,565,1,
1780662006.5839553,SEND,565,2,
1780662006.5862732,ACK,565,2,0.0023179054260253906
1780662006.5894575,SEND,566,1,
1780662006.5901666,ACK,566,1,0.0007090568542480469
1780662006.5908127,SEND,567,1,
1780662006.5915945,ACK,567,1,0.0007817745208740234
1780662006.592321,SEND,568,1,
1780662006.5930083,ACK,568,1,0.0006873607635498047
1780662006.5937316,SEND,569,1,
1780662006.596511,ACK,569,1,0.002779245376586914
1780662006.6016436,SEND,570,1,
1780662006.603115,ACK,570,1,0.0014715194702148438
1780662006.6041248,SEND,571,1,
1780662006.6047766,ACK,571,1,0.0006518363952636719
1780662006.6053271,SEND,572,1,
1780662006.6060073,ACK,572,1,0.0006802082061767578
1780662006.606685,SEND,573,1,
1780662006.6109493,ACK,573,1,0.004264354705810547
1780662006.6139014,SEND,574,1,
1780662006.614588,ACK,574,1,0.0006866455078125
1780662006.6151845,SEND,575,1,
1780662006.6163652,ACK,575,1,0.0011806488037109375
1780662006.6170514,SEND,576,1,
1780662006.6189268,ACK,576,1,0.0018754005432128906
1780662006.6235728,SEND,577,1,
1780662006.6275172,ACK,577,1,0.00394439697265625
1780662006.6307213,SEND,578,1,
1780662006.631386,ACK,578,1,0.0006647109985351562
1780662006.6322556,SEND,579,1,
1780662006.6330752,ACK,579,1,0.0008196830749511719
1780662006.634341,SEND,580,1,
1780662006.6384442,ACK,580,1,0.004103183746337891
1780662006.6446474,SEND,581,1,
1780662006.6453667,ACK,581,1,0.0007193088531494141
1780662006.6459086,SEND,582,1,
